# time_s east_m north_m up_m qx qy qz qw
2502.13 -4.99223 -8.2011 0.118007 0.670707 -0.243254 -0.659218 0.237512
2502.33 -5.12559 -8.53395 0.128008 0.211549 -0.393691 -0.0150276 0.894443
2502.53 -5.26239 -8.87218 0.139008 0.947063 -0.0720262 0.122973 0.287685
2502.73 -5.40285 -9.213 0.145009 0.496036 -0.301209 0.804641 0.1256
2502.93 -5.54963 -9.55603 0.15601 -0.146014 -0.51655 0.754864 -0.376877
2503.13 -5.69874 -9.90157 0.16601 -0.429522 -0.382437 0.77397 0.264998
2503.33 -5.85483 -10.2516 0.172011 0.462093 0.102497 0.873328 -0.115164
2503.53 -6.01557 -10.6065 0.182012 0.566908 0.567378 0.565724 -0.191451
2503.73 -6.18131 -10.964 0.192012 -0.45759 0.0302915 0.864621 -0.205244
2503.93 -6.35746 -11.3268 0.202013 0.0113384 -0.61559 -0.602042 0.508395
2504.13 -6.53949 -11.6931 0.207014 -0.563263 0.454388 0.615983 0.311178
2504.33 -6.72773 -12.0608 0.219015 0.0682007 0.412266 0.907473 -0.0433337
2504.53 -6.92374 -12.4334 0.227016 0.766891 0.480904 0.412817 0.100955
2504.73 -7.12783 -12.8065 0.239017 0.308359 0.746171 0.518239 -0.282086
2504.93 -7.34378 -13.1854 0.242018 -0.0371975 0.515408 0.803672 0.295096
2505.13 -7.56738 -13.5635 0.255019 0.158086 0.615773 0.763681 0.112358
2505.33 -7.80174 -13.9451 0.27402 -0.271392 0.769777 -0.568936 -0.100504
2505.53 -8.04463 -14.332 0.282021 0.448073 -0.337379 0.795315 0.229956
2505.73 -8.29706 -14.7189 0.297022 0.805348 -0.588594 -0.0371334 0.0599362
2505.93 -8.56457 -15.1091 0.310024 -0.0911659 0.0292579 -0.221226 0.970511
2506.13 -8.84216 -15.4997 0.330025 -0.561804 0.124534 -0.407663 0.708998
2506.33 -9.1326 -15.8924 0.346026 0.742336 0.224638 0.56785 -0.275718
2506.53 -9.43636 -16.2888 0.365028 0.638576 0.514261 -0.469872 -0.327073
2506.73 -9.75153 -16.6881 0.385029 -0.32953 -0.37764 0.865021 -0.0231633
2506.93 -10.0801 -17.0904 0.408031 0.894375 -0.115275 -0.233435 -0.363748
2507.13 -10.4217 -17.5002 0.427033 0.808347 0.449688 -0.00399105 -0.379921
2507.33 -10.7698 -17.9109 0.449037 0.439335 0.84915 -0.199542 -0.214736
2507.53 -11.1295 -18.3248 0.470962 0.118484 0.596706 -0.253186 0.752197
2507.73 -11.493 -18.7365 0.493039 0.376684 0.356199 -0.607284 0.602028
2507.93 -11.8647 -19.1506 0.50304 0.569257 0.607853 0.243418 0.497201
2508.13 -12.2405 -19.5636 0.524042 0.0391695 0.998149 0.0218076 0.0411053
2508.33 -12.6191 -19.9746 0.543044 -0.468276 -0.597102 0.0844604 0.645797
2508.53 -13.0038 -20.3891 0.565046 -0.140748 -0.199892 -0.55078 0.798044
2508.73 -13.3956 -20.8036 0.591048 0.530191 -0.0383378 0.121156 0.838301
2508.93 -13.7918 -21.2199 0.60905 0.063696 -0.480044 0.729217 0.48347
2509.13 -14.1929 -21.637 0.637053 -0.66291 -0.127529 0.414685 0.610183
2509.33 -14.5949 -22.0529 0.667055 -0.0736444 -0.630588 -0.21191 0.742987
2509.53 -14.9951 -22.4652 0.694057 -0.338267 0.84174 -0.087948 -0.411477
2509.73 -15.4002 -22.88 0.72006 -0.316109 0.89976 0.0497631 -0.296698
