# time_s dtheta_x_rad dtheta_y_rad dtheta_z_rad dbg_x_rps dbg_y_rps dbg_z_rps
2487.8290000000002 -1.8796348707369781 1.5332695557951597 1.1742736080748548 0 0 0
2487.8389999999999 -1.9333229601749862 1.5833635253740546 1.2315876686133631 0 0 0
2487.8490000000002 -1.9700000744417652 1.6613827754758852 1.318835010014892 0 0 0
2487.8589999999999 -1.9881036659759219 1.7597220632135326 1.4288506437806676 0 0 0
2487.8690000000001 -1.9870007886606627 1.8695664921697901 1.5543404684092346 0 0 0
2487.8789999999999 1.8217176555109946 -1.8339075129397715 -1.5619265387712107 0 0 0
2487.8890000000001 1.6654203048970591 -1.7937671514078743 -1.5653537341800383 0 0 0
2487.8989999999999 1.5316530458574538 -1.752258019062521 -1.5664563977524513 0 0 0
2487.9090000000001 1.4310228060876462 -1.7121393679248451 -1.5664192507738708 0 0 0
2487.9189999999999 1.3735741213909733 -1.6770497416001469 -1.5666514052999805 0 0 0
2487.9290000000001 1.3693258037349061 -1.6506298393627135 -1.567823070294152 0 0 0
2487.9389999999999 1.4253718815598682 -1.6350850259863985 -1.5688589497921948 0 0 0
2487.9490000000001 1.535591466105428 -1.6296711863194104 -1.5669181945199935 0 0 0
2487.9589999999998 1.6909810828511336 -1.6324667325272655 -1.5578450336001355 0 0 0
2487.9690000000001 1.8825901426022784 -1.6414852416968109 -1.5373285358351196 0 0 0
2487.9789999999998 2.1011157832037228 -1.6552077765988178 -1.5020842465612885 0 0 0
2487.989 -2.223824215198682 1.5921415924455424 1.3807413533717163 0 0 0
2487.9989999999998 -2.2106663888372027 1.4532533374464944 1.1873671945976525 0 0 0
2488.009 -2.1627556536875789 1.3243052206625705 1.0059810080979883 0 0 0
2488.0189999999998 -2.0830207354557926 1.210875332598645 0.84651090275354579 0 0 0
2488.029 -1.9762254214251247 1.1185321606815353 0.71649544123933384 0 0 0
2488.0390000000002 -1.8480220439560662 1.0514147958161195 0.61947402704334287 0 0 0
2488.049 -1.7044715176599972 1.006911045553365 0.55215268846082499 0 0 0
2488.0587999999998 -1.5532933326529665 0.98174725336528701 0.50997099513477362 0 0 0
2488.0688 -1.3913945252363122 0.97188129234828025 0.48599444342150233 0 0 0
2488.0787999999998 -1.2239488700876575 0.97515278590608634 0.47630631239682719 0 0 0
2488.0888 -1.0525726913732008 0.98869538524469003 0.47647516748048846 0 0 0
2488.0988000000002 -0.87864437082298563 1.0095333045952954 0.48284002736235537 0 0 0
2488.1088 -0.70351702352523149 1.0345580987766942 0.49265147847046098 0 0 0
2488.1188000000002 -0.52866265417779734 1.0606311395846852 0.5041831709701966 0 0 0
2488.1288 -0.35576812250677009 1.0847552403551757 0.51676238079776804 0 0 0
2488.1388000000002 -0.18668353602706836 1.1044900986285264 0.53029544814903939 0 0 0
2488.1487999999999 -0.023131221587292358 1.118935437856688 0.54334191278611144 0 0 0
2488.1588000000002 0.13311172269917682 1.128136831490109 0.55384287443393132 0 0 0
2488.1687999999999 0.28017637457515021 1.1327430970891386 0.55963122687874967 0 0 0
2488.1788000000001 0.4161502813900379 1.1338804162460618 0.55852776566926166 0 0 0
2488.1887999999999 0.53907132581580142 1.1330119243589432 0.54839600716038139 0 0 0
2488.1988000000001 0.6469188799865736 1.1317351485487828 0.52720936794570139 0 0 0
2488.2087999999999 0.73759576447623187 1.1315812344530929 0.49308919108497989 0 0 0
2488.2188000000001 0.80890556684250758 1.1337758393304616 0.44432720183649715 0 0 0
2488.2287999999999 0.85853696788639389 1.1389819656871543 0.37937481500249343 0 0 0
2488.2388000000001 0.88495022141433666 1.1473801964644412 0.29746107146165379 0 0 0
2488.2487999999998 0.89037436480495247 1.1596235185396739 0.20050534848048984 0 0 0
2488.2588000000001 0.87843373487059329 1.1757663064927781 0.09088863383323538 0 0 0
2488.2687999999998 0.85324421835721243 1.1951401830439707 -0.029427392874455515 0 0 0
2488.2788 0.81937599697062724 1.2166377049657215 -0.15895073717016647 0 0 0
2488.2887999999998 0.78180593326519454 1.2389583717183101 -0.29658008026131649 0 0 0
2488.2988 0.74583037840536759 1.2608425006791582 -0.44146951123758443 0 0 0
2488.3087999999998 0.71693865780490929 1.2813112049871989 -0.59288237750539197 0 0 0
2488.3188 0.70068609844601193 1.2999201382938881 -0.75002812776355743 0 0 0
2488.3287999999998 0.70257637664363104 1.3170528893138498 -0.91191640930532469 0 0 0
2488.3388 0.7263836758410015 1.3333603558653508 -1.0769675629929223 0 0 0
2488.3488000000002 0.76917188449699347 1.3471639372937734 -1.2416891860348174 0 0 0
2488.3588 0.82568103858934916 1.3573498273410392 -1.4017426411824399 0 0 0
2488.3688000000002 0.89008770806552429 1.3641684813584376 -1.5525770938755812 0 0 0
2488.3788 0.95611032294053766 1.3689217045313544 -1.68963560224179 0 0 0
2488.3888000000002 1.0172039460462763 1.3736301550796348 -1.8083976824780916 0 0 0
2488.3987999999999 1.0667499381785512 1.3805898499867453 -1.9043558486903331 0 0 0
2488.4088000000002 1.0983082526061003 1.3918537327085023 -1.9728932435491306 0 0 0
2488.4187999999999 1.1058067606310324 1.4085405057379754 -2.0092107246660156 0 0 0
2488.4288000000001 1.0836876531763218 1.4300861775824847 -2.008342590574316 0 0 0
2488.4387999999999 1.0288082828054625 1.4537108322589223 -1.9671835561389277 0 0 0
2488.4488000000001 0.94634203222647006 1.4750757451139664 -1.8907140390932105 0 0 0
2488.4587999999999 0.84361962639662691 1.4894332433331674 -1.786452055850994 0 0 0
2488.4688000000001 0.72788968926984876 1.4928086244570298 -1.6622394493870987 0 0 0
2488.4787999999999 0.60621717087773175 1.4827382133222697 -1.5260320834956302 0 0 0
2488.4888000000001 0.48540785401217407 1.4585680309656852 -1.3856943858613471 0 0 0
2488.4987999999998 0.37190558911408456 1.4213737392174048 -1.248882389316835 0 0 0
2488.5088000000001 0.27171457687013262 1.373687850275469 -1.1229799218677428 0 0 0
2488.5187999999998 0.1903067858699351 1.3190875628833973 -1.015141838526854 0 0 0
2488.5288 0.13255270267097932 1.2616788741295371 -0.93242017441608449 0 0 0
2488.5387999999998 0.10162247354339091 1.2052383877351383 -0.87973773917152032 0 0 0
2488.5488 0.095721878242821773 1.1518526181942998 -0.8528057295836291 0 0 0
2488.5587999999998 0.1116038974554822 1.1023052534081343 -0.84507336970405045 0 0 0
2488.5688 0.14592406793688656 1.0564435953585392 -0.85013223363815704 0 0 0
2488.5787999999998 0.19530341255826095 1.0133915928230985 -0.86163972896386387 0 0 0
2488.5888 0.25634110322073439 0.97180222782303705 -0.87325933729218408 0 0 0
2488.5988000000002 0.32562320922897492 0.93013699143958228 -0.87860522916125139 0 0 0
2488.6088 0.39968247891210573 0.88698375507911653 -0.87123912160926897 0 0 0
2488.6188000000002 0.47498419764194577 0.84135946534770001 -0.84470211803646689 0 0 0
2488.6288 0.54803336100625466 0.7929834580845756 -0.79252979949692237 0 0 0
2488.6388000000002 0.61599890484757736 0.74185457606807181 -0.71010054343911644 0 0 0
2488.6487999999999 0.67843104567593127 0.68632276386855784 -0.60062351048000862 0 0 0
2488.6588000000002 0.73641207267083697 0.62485520363839864 -0.46934829594809346 0 0 0
2488.6687999999999 0.79216006701873587 0.55670505823058225 -0.32136052846095386 0 0 0
2488.6788000000001 0.84890359268446125 0.48183822502777879 -0.16146704007530074 0 0 0
2488.6887999999999 0.91058915625242975 0.40083023602774531 0.0058108493689351748 0 0 0
2488.6988000000001 0.98156947796665406 0.31468934697184536 0.17615715791539124 0 0 0
2488.7087999999999 1.0662971014347482 0.22459685901575677 0.34526593508352127 0 0 0
2488.7188000000001 1.1690870067982413 0.13147905080451924 0.50857919742616819 0 0 0
2488.7287999999999 1.2938423402382107 0.035440632999754605 0.66093706113282102 0 0 0
2488.7388000000001 1.4430342283062527 -0.06426471576737075 0.79718987278618503 0 0 0
2488.7487999999998 1.6150490714630257 -0.16695403959119318 0.91521264865695795 0 0 0
2488.7588000000001 1.8067122357998178 -0.27223531577631893 1.013477574554783 0 0 0
2488.7687999999998 2.0142196451548164 -0.38030454387523993 1.0904864960735161 0 0 0
2488.7788 2.2332343289745489 -0.4915242901728642 1.1452602908440623 0 0 0
2488.7887999999998 2.4590209506967393 -0.60597373836254009 1.1777337849756457 0 0 0
2488.7988 2.6866987544796026 -0.72304767806261383 1.1890814035531965 0 0 0
2488.8087999999998 -2.7123709713495048 0.78342163087074967 -1.1009647315376103 0 0 0
2488.8188 -2.5341468330979313 0.77433194831725094 -0.93915603758233146 0 0 0
2488.8287999999998 -2.3608025455328714 0.75208289749182444 -0.79787758278494514 0 0 0
2488.8388 -2.196176439987088 0.71778405039130111 -0.67831161634269643 0 0 0
2488.8488000000002 -2.0438507515466355 0.67597259822862632 -0.57916735819855814 0 0 0
2488.8588 -1.9072416724696497 0.63119722072200701 -0.49849352715696665 0 0 0
2488.8688000000002 -1.7896378896810969 0.58717217232065932 -0.43447798960131329 0 0 0
2488.8788 -1.6941101520363444 0.5470824961045444 -0.38568671221398099 0 0 0
2488.8888000000002 -1.6235279575742254 0.51380445034114985 -0.35119011228295077 0 0 0
2488.8987999999999 -1.5805403084339342 0.49006855872236804 -0.33060115628857978 0 0 0
2488.9088000000002 -1.5675605858560671 0.47854676560522402 -0.32408825115877737 0 0 0
2488.9187999999999 -1.5867768052971254 0.48195775736510593 -0.33231443091117524 0 0 0
2488.9288000000001 -1.6401634341678566 0.50315972530378317 -0.35635354294598209 0 0 0
2488.9387999999999 -1.728148411108491 0.54449347492804034 -0.39714048903122423 0 0 0
2488.9488000000001 -1.8453800712929747 0.60519746457713275 -0.45415066217239108 0 0 0
2488.9587999999999 -1.9848398369091542 0.68352093758760157 -0.52685348570706036 0 0 0
2488.9688000000001 -2.1393582933240078 0.77728849091274621 -0.61531733823181978 0 0 0
2488.9787999999999 -2.3016523132781073 0.88360213705397361 -0.72026359574318188 0 0 0
2488.9888000000001 -2.4644104053975218 0.99854831075995532 -0.84304217082116772 0 0 0
2488.9987999999998 -2.6202921823948544 1.1169248828032015 -0.98551675968042296 0 0 0
2489.0088000000001 2.6016357776803449 -1.1605454686681955 1.0830760874986105 0 0 0
2489.0187999999998 2.3716804665005626 -1.0993077498915547 1.1010017210828424 0 0 0
2489.0288 2.1576753128134838 -1.0300617254046154 1.1256275363893196 0 0 0
2489.0387999999998 1.9634199048930903 -0.95558127613803356 1.1590067810295781 0 0 0
2489.0488 1.7879152085614947 -0.87711147485195828 1.1978180857775746 0 0 0
2489.0587999999998 1.6286346748908325 -0.79653938113156342 1.2375444438498344 0 0 0
2489.0688 1.4828589636000715 -0.71667041869872861 1.2740174688828116 0 0 0
